parent_asin,avg_rating,review_count,credibility_score,themes_counts,themes_pct,summary,evidence,pos_snippets,neg_snippets,formatted_summary
B0006O028U,3.89,91,1,"Usability (5), Delivery (2)","Usability 71%, Delivery 29%","You are summarizing a batch of product reviews. Rules: Summarize collectively (customers as a group), neutral and factual. Prefer patterns/themes over one-off anecdotes. Compress redundancy; keep 1–2 sentences.","Masking property works great, but it's like painting on a mask by hand; so if you aren't good at painting with a brush...this will challenge you. | For complex parts - think B-24 or B-25 nose sections, the mask does not cover well, and does not trim precisely enough to yield good results.<br /><br />If you are masking a large area, you can tape off the edges and then paint this product to augment you masking.<br /><br />DO NOT RECOMMEND. | arrived in excellent condition as promised.","Masking property works great, but it's like painting on a mask by hand; so if you aren't good at painting with a brush...this will challenge you. | For complex parts - think B-24 or B-25 nose sections, the mask does not cover well, and does not trim precisely enough to yield good results.<br /><br />If you are masking a large area, you can tape off the edges and then paint this product to augment you masking.<br /><br />DO NOT RECOMMEND.","This masking product does brush on easily and does work on the areas you want to protect, but it dries very stiff and is difficult to trim without it wanting to lift off from the plastic. | And it is difficult to tell if an area is successfully covered since it has just a slight blue tint to it.","Based on 91 verified reviews (avg rating 3.9/5, credibility 1.00). Top themes: Usability 71%, Delivery 29%. You are summarizing a batch of product reviews. Rules: Summarize collectively (customers as a group), neutral and factual. Prefer patterns/themes over one-off anecdotes. Compress redundancy; keep 1–2 sentences."
B0006O2HRO,4.41,61,1,"Value (7), Usability (5), Quality (4), Scent (4), Delivery (1)","Value 33%, Usability 24%, Quality 19%, Scent 19%, Delivery 5%","Evan Healy is a small seller of organic cosmetics. This review is not about the Evan Healy product but about the seller of Evanhealy cosmetics. Rules: Summarize collectively (customers as a group), neutral and factual.","Liked the description so  Best skin care item      It is made well and performs well, and is far less expensive than many  Love this oil!. | Great Price for Great Serum… Great for your skin!. | It's hard to find a good oil with quality rosehip.","Liked the description so  Best skin care item      It is made well and performs well, and is far less expensive than many  Love this oil!. | Good product, smells good Simply the Best.",Who doesn’t/wouldn’t love the smell of a fresh rose. | It's hard to find a good oil with quality rosehip.,"Based on 61 verified reviews (avg rating 4.4/5, credibility 1.00). Top themes: Value 33%, Usability 24%, Quality 19%, Scent 19%, Delivery 5%. Evan Healy is a small seller of organic cosmetics. This review is not about the Evan Healy product but about the seller of Evanhealy cosmetics. Rules: Summarize collectively (customers as a group), neutral and factual."
B0007D5DS4,4.098,112,1,"Value (13), Usability (5), Scent (3), Quality (2), Content (1), Fit (1), Safety (1)","Value 50%, Usability 19%, Scent 12%, Quality 8%, Content 4%, Fit 4%, Safety 4%",The lotion spreads easily and absorbs into the skin with barely any greasy residue. It's $35 for an 8 oz bottle which is AWESOME! ( $4.37 / oz) A way better value than the DCL. It will last a long time with just daily facial use only.,"Not very rich and creamy but it DOES take care of the KP &#34;Chicken Skin&#34; issue, as well as tough dry skin on   An excellent product and  It works great!. | The price  Now - all of a sudden, the price has gone up to 30 USD - that is way to expensive. | It cost about  about the same as Neostrata but it was an 4 oz bottle ( = $8.25 / oz)  The DCL product was great quality at a great price.","Not very rich and creamy but it DOES take care of the KP &#34;Chicken Skin&#34; issue, as well as tough dry skin on   An excellent product and  It works great!. | This is the best glycolic acid lotion   It feels great and it burns just a tiny bit.","This stuff does not smell very nice and it’s kind of sticky or else I would’ve given it a five star rating Really works !. | The price  Now - all of a sudden, the price has gone up to 30 USD - that is way to expensive.","Based on 112 verified reviews (avg rating 4.1/5, credibility 1.00). Top themes: Value 50%, Usability 19%, Scent 12%, Quality 8%, Content 4%, Fit 4%, Safety 4%. The lotion spreads easily and absorbs into the skin with barely any greasy residue. It's $35 for an 8 oz bottle which is AWESOME! ( $4.37 / oz) A way better value than the DCL. It will last a long time with just daily facial use only."
B0009ET4SG,4.123,57,1,"Scent (4), Usability (3), Value (1), Battery (1)","Scent 44%, Usability 33%, Value 11%, Battery 11%","You are summarizing a batch of product reviews. Rules: Summarize collectively (customers as a group), neutral and factual. Prefer patterns/themes over one-off anecdotes. Compress redundancy; keep 1–2 sentences.","This product works well for  It was recommended that she use the thickest face cream  This is not the thickest, but it is thick enough and works well for her. | It has a slightly &#34;natural&#34; smell, it may not have a very long shelf life,  For the price, this was a much better solution for  nice, thick, creamy skin cream. | I ordered this cream as a face cream, the love the consistency but I don't love the smell--I won't order again, sorry no animals suffered.","This product works well for  It was recommended that she use the thickest face cream  This is not the thickest, but it is thick enough and works well for her. | It is light weight and works great under  And no animal testing!!!","It has a slightly &#34;natural&#34; smell, it may not have a very long shelf life,  For the price, this was a much better solution for  nice, thick, creamy skin cream. | I ordered this cream as a face cream, the love the consistency but I don't love the smell--I won't order again, sorry no animals suffered.","Based on 57 verified reviews (avg rating 4.1/5, credibility 1.00). Top themes: Scent 44%, Usability 33%, Value 11%, Battery 11%. You are summarizing a batch of product reviews. Rules: Summarize collectively (customers as a group), neutral and factual. Prefer patterns/themes over one-off anecdotes. Compress redundancy; keep 1–2 sentences."
B0009MFUOA,4.186,188,1,"Usability (7), Battery (7), Value (5), Fit (2), Delivery (1), Content (1)","Usability 30%, Battery 30%, Value 22%, Fit 9%, Delivery 4%, Content 4%","The battery still keeps a great charge, and the shave is still excellant. Shaving in the car is great; except when it is so cold outside that the shaver doesn't work. It does take a little longer to shave than if you shaved the old fashioned way.","Husband was hesitant on buying this shaver, as he had used his for years, well needless to say, he loves this one....The price was outstanding, the shipping fast, and  Easy to clean but shave was not good. | But if price is not an issue...<br /><br />May, 2012 -   The battery still keeps a great charge, and the shave is still excellant. | <br /><br />The good things about it were that it looked cool, it was extremely easy to clean after each shave, and the battery lasts a long time.<br /><br />The only problem was that this thing can't cut.","Husband was hesitant on buying this shaver, as he had used his for years, well needless to say, he loves this one....The price was outstanding, the shipping fast, and  Easy to clean but shave was not good. | <br /><br />The good things about it were that it looked cool, it was extremely easy to clean after each shave, and the battery lasts a long time.<br /><br />The only problem was that this thing can't cut.",Excellent Product. | This shaver was a Christmas present for   He says it's the best shaver he's ever owned.,"Based on 188 verified reviews (avg rating 4.2/5, credibility 1.00). Top themes: Usability 30%, Battery 30%, Value 22%, Fit 9%, Delivery 4%, Content 4%. The battery still keeps a great charge, and the shave is still excellant. Shaving in the car is great; except when it is so cold outside that the shaver doesn't work. It does take a little longer to shave than if you shaved the old fashioned way."
B000A23CQM,4.485,101,1,"Battery (13), Usability (6), Quality (3), Value (3), Noise (2)","Battery 48%, Usability 22%, Quality 11%, Value 11%, Noise 7%",This is the third Norelco rotary electric shaver. The battery holds a charge for a couple of months. The instructions say that it will take up to 3 weeks for the shaver to clean out and adjust the settings for the head.,"Close shaves, easy cleaning, and after a month, the battery is still at 3/4 charge! | The instructions say that it will take up to 3 weeks for  The shave  This shaver is easy to clean out after use and the settings for the head adjustment are great. | 3) the battery life after a charge is spectacular.","THE FACT IS RAZER IS BETTER BUT UNIT WORKS WELL THIS IS  A great shaver, if you're a rotary user. | It is easy to clean and really does a good job.","The plastic cap, however is poor compared to   The new ones last only a couple months at best and cost about $9.00 to replace. | New Shaver -  Quality?.","Based on 101 verified reviews (avg rating 4.5/5, credibility 1.00). Top themes: Battery 48%, Usability 22%, Quality 11%, Value 11%, Noise 7%. This is the third Norelco rotary electric shaver. The battery holds a charge for a couple of months. The instructions say that it will take up to 3 weeks for the shaver to clean out and adjust the settings for the head."
B000AMRIIK,4.607,135,1,"Usability (5), Quality (4), Battery (4), Value (2), Delivery (1), Noise (1)","Usability 29%, Quality 24%, Battery 24%, Value 12%, Delivery 6%, Noise 6%","You are summarizing a batch of product reviews. Rules: Summarize collectively (customers as a group), neutral and factual. Prefer patterns/themes over one-off anecdotes. Compress redundancy; keep 1–2 sentences.","The new design is an improvement over the old design and seems to contain all the good elements of the old design. | A nice product, but expensive. | What   The replacement heads are very expensive, and you'll need to change them at least every couple of months.",This item works great plus it is recommended by dentist all over. | Highly recommend.,"A nice product, but expensive. | What   The replacement heads are very expensive, and you'll need to change them at least every couple of months.","Based on 135 verified reviews (avg rating 4.6/5, credibility 1.00). Top themes: Usability 29%, Quality 24%, Battery 24%, Value 12%, Delivery 6%, Noise 6%. You are summarizing a batch of product reviews. Rules: Summarize collectively (customers as a group), neutral and factual. Prefer patterns/themes over one-off anecdotes. Compress redundancy; keep 1–2 sentences."
B000BOZ8UM,4.283,173,1,"Scent (19), Delivery (5), Usability (4), Quality (2), Value (2), Content (2), Fit (1)","Scent 54%, Delivery 14%, Usability 11%, Quality 6%, Value 6%, Content 6%, Fit 3%","You are summarizing a batch of product reviews. Rules: Summarize collectively (customers as a group), neutral and factual. Prefer patterns/themes over one-off anecdotes. Compress redundancy; keep 1–2 sentences.",I use it nightly to take away the days stress Extremely late and leaked out everywhere. | The only issue was the oil leaked out into package because cap was loose. | Did not smell same as spray or soaps<br /> Fragrance not pleasant Silky skin!.,"The oil is great, leaves no residue, smells great. | Leaves your skin smooth not greasy, absorbs into the skin well.",I use it nightly to take away the days stress Extremely late and leaked out everywhere. | did not like the smell One Star.,"Based on 173 verified reviews (avg rating 4.3/5, credibility 1.00). Top themes: Scent 54%, Delivery 14%, Usability 11%, Quality 6%, Value 6%, Content 6%, Fit 3%. You are summarizing a batch of product reviews. Rules: Summarize collectively (customers as a group), neutral and factual. Prefer patterns/themes over one-off anecdotes. Compress redundancy; keep 1–2 sentences."
B000CSH3YG,4.448,105,1,"Usability (11), Value (6), Quality (5), Delivery (1)","Usability 48%, Value 26%, Quality 22%, Delivery 4%","You are summarizing a batch of product reviews. Rules: Summarize collectively (customers as a group), neutral and factual. Prefer patterns/themes over one-off anecdotes. Compress redundancy; keep 1–2 sentences.",Its durable soaps up extremely well and helps the skin by shedding all that dead skin   It may take some time to get use to using but its worth it. | best scrubbers  best scrubbers   somewhat abrasive helps remove the dead skin cells and invigorate   Feels really good to use it. | long lasting<br />not too soft so exfoliates well but not too hard so you feel clean and rejuvenated without having scratches on the skin<br />only problem i had was the length<br />seemed abit too long so had to fold it up alot to use it Four Stars.,"best scrubbers  best scrubbers   somewhat abrasive helps remove the dead skin cells and invigorate   Feels really good to use it. | I use this all the time, it exfoliates great Works so well!.","long lasting<br />not too soft so exfoliates well but not too hard so you feel clean and rejuvenated without having scratches on the skin<br />only problem i had was the length<br />seemed abit too long so had to fold it up alot to use it Four Stars. | It's really rough, so it can be hard to get use to.","Based on 105 verified reviews (avg rating 4.4/5, credibility 1.00). Top themes: Usability 48%, Value 26%, Quality 22%, Delivery 4%. You are summarizing a batch of product reviews. Rules: Summarize collectively (customers as a group), neutral and factual. Prefer patterns/themes over one-off anecdotes. Compress redundancy; keep 1–2 sentences."
B000FED5D0,4.078,90,1,"Value (5), Usability (5), Battery (2), Fit (1)","Value 38%, Usability 38%, Battery 15%, Fit 8%",The Nifty Little razor cuts well and grabs most of the hair. It can get clogged when doing longer hair so either cut long hair in two steps or just keep cutting because it still cuts just fine. The variable setting feature is easy to use and effective.,The vacuum works well but makes it hard for<br />close trimming of Mustache.<br />Product keeps the sink clean. | This is alright.<br /><br /><br />Turns out the vacuum is a great feature but it doesn't cut as well as <br /><br />Overall  Excellent Trimmer. | The variable setting feature is easy to use and effective.,This is alright.<br /><br /><br />Turns out the vacuum is a great feature but it doesn't cut as well as <br /><br />Overall  Excellent Trimmer. | The vacuum works well but makes it hard for<br />close trimming of Mustache.<br />Product keeps the sink clean.,This device is huge compared to most other trimmers  For the most part this isn't too bad but it's sort of difficult to trim <br />3. | The vacuum works well but makes it hard for<br />close trimming of Mustache.<br />Product keeps the sink clean.,"Based on 90 verified reviews (avg rating 4.1/5, credibility 1.00). Top themes: Value 38%, Usability 38%, Battery 15%, Fit 8%. The Nifty Little razor cuts well and grabs most of the hair. It can get clogged when doing longer hair so either cut long hair in two steps or just keep cutting because it still cuts just fine. The variable setting feature is easy to use and effective."
B000FEF1V4,4.195,481,1,"Battery (12), Usability (9), Quality (1)","Battery 55%, Usability 41%, Quality 5%",The beard trimmer is average and does the job. It shaves cleanly and hasn't given   Battery lasts well over a week with daily trimming. The attached guard can be adjusted to 9 length settings with a rotating selector.,"Pilot light indicates when fully charge.<br />- Cutting head can be raised or lowered to suit closeness of shave.<br />- Interchangeable shave head for close work.<br />- Whisker catch compartment is easily cleaned with enclosed brush.<br />- Vacuum system draws in cuttings to minimize clean-up.<br /><br />Cons:<br /><br />None: Nice...easy to use, works well!. | It made   It is easy to clean up, very smooth, very easy, very affordable, very cool looking, and very powerful. | There is also a separate smaller attachment that can be used for precision cuts.<br /><br />The vacuum is power and made more powerful over earlier models through the use of the ""Turbo"" button that amps up the cutting power and vacuum power substantially.","Pilot light indicates when fully charge.<br />- Cutting head can be raised or lowered to suit closeness of shave.<br />- Interchangeable shave head for close work.<br />- Whisker catch compartment is easily cleaned with enclosed brush.<br />- Vacuum system draws in cuttings to minimize clean-up.<br /><br />Cons:<br /><br />None: Nice...easy to use, works well!. | It made   It is easy to clean up, very smooth, very easy, very affordable, very cool looking, and very powerful.",The good the bad and the ugly. | A great way to trim your beard!.,"Based on 481 verified reviews (avg rating 4.2/5, credibility 1.00). Top themes: Battery 55%, Usability 41%, Quality 5%. The beard trimmer is average and does the job. It shaves cleanly and hasn't given   Battery lasts well over a week with daily trimming. The attached guard can be adjusted to 9 length settings with a rotating selector."
B000FEGUIM,3.633,60,1,"Value (16), Usability (5), Battery (4), Quality (2), Noise (2)","Value 55%, Usability 17%, Battery 14%, Quality 7%, Noise 7%","The 7110X is quiet, comfortable to hold and use, and gives   Well worth considering! If you do, get this for the inbetween days and keep this charged fully. The plastic on this one is cheap when put side by side with other Norelco models.","The 7110X is quiet, comfortable to hold and use, and gives   Well worth considering! | average quality, not as good as    It already looks like Amazon is not selling this item anymore as it is currently only listed as available from various Marketplace sellers.<br /><br />For the three ten-spots   It basically cost what replacement blades for     It is lighter, doesn't feel as good in the hand, and has a cheap plastic feel. | the plastic on this one is cheap when put side by side with <br /><br /> there is no travel bag like previous norelco models.<br /><br />cleaning is very easy though with just a quick wash in hot water.","The 7110X is quiet, comfortable to hold and use, and gives   Well worth considering! | The product was not only shipped faster than expected, but it was also in great condition and they followed up to ensure  Good day-in, day-out razor.","Just tried Norelco's online ""live"" customer support to find out how to return for service/replacement and the agents are 1) not very knowledgeable, and 2) unable to stay connected with   So far, a waste of 25 bucks, but at least it was only 25 bucks. | This was also the least expensive.","Based on 60 verified reviews (avg rating 3.6/5, credibility 1.00). Top themes: Value 55%, Usability 17%, Battery 14%, Quality 7%, Noise 7%. The 7110X is quiet, comfortable to hold and use, and gives   Well worth considering! If you do, get this for the inbetween days and keep this charged fully. The plastic on this one is cheap when put side by side with other Norelco models."
B000FEGUIW,4.214,70,1,"Battery (16), Value (15), Noise (6), Usability (3), Quality (2)","Battery 38%, Value 36%, Noise 14%, Usability 7%, Quality 5%","Philips Norelco 7140XL Cord/Cordless Rechargeable Shaver. Affordable, comfortable, practical. Can't beat the price, shaves closer than   Pretty Nice for the Price.","Battery management is not as good as  Bottom line, if you want a good battery electric shaver and don't want to spend a lot for features you might not need or want, this will do the job. | Very quiet operation, long charge, easy to clean, and most important - the closest shave <br /><br />For the money -  Decent.... | gives a good clean close cut Very Very satisfied would highly reccommend this shaver to anyone looking for a high quality shaver at a Great Price!!!","Good value - works great. | Battery management is not as good as  Bottom line, if you want a good battery electric shaver and don't want to spend a lot for features you might not need or want, this will do the job.","His old, cheap, noisy, corded one was getting too much for him to handle. | Good performance to price ratio.","Based on 70 verified reviews (avg rating 4.2/5, credibility 1.00). Top themes: Battery 38%, Value 36%, Noise 14%, Usability 7%, Quality 5%. Philips Norelco 7140XL Cord/Cordless Rechargeable Shaver. Affordable, comfortable, practical. Can't beat the price, shaves closer than   Pretty Nice for the Price."
